5|17:00=ελαφρολαϊκό etnic β.pll
5|18:00=ακουστικό 18.pll
5|19:00=ακουστικό 20.pll
5|20:00=rock 70 a .pll
5|20:30=rock 70 b.pll
5|21:00=ακουστιό πρώιμο γιορτές.pll
5|21:30=διαχρονικό ακουστικό ημέρας.pll
5|22:00=ακουστικό 21.pll
5|23:00=ακουστικό 23.pll
6|00:00=ακουστικό 00.pll
6|00:30=ακουστικό 15 β.pll
6|01:00=έθνικ νύχτα.pll
6|01:30=ελαφρολαϊκό 17.pll
6|02:00=ακουστικό 15 β.pll
6|02:30=ακουστικό 15.pll
6|03:00=ελαφρολαϊκό 1.pll
6|04:00=ακουστικό 16β.pll
6|05:00=ακουστικό 15 β.pll
6|06:00=διαχρονικό ελαφρολαϊκό ημέρας.pll
6|06:30=διαχρονικό ακουστικό πρωί.pll
6|07:00=ακουστικό 18.pll
6|07:30=ακουστικό 20.pll
6|08:00=ακουστικό 8.pll
6|09:00=ακουστικό 14-30.pll
6|10:00=ελαφρολαϊκό etnic.pll
6|11:00=ακουστικό 12.pll
6|12:00=ελαφρολαϊκό etnic β.pll
6|12:30=ελαφρολαϊκό etnic β.pll
6|13:00=ακουστικό 20.pll
6|14:00=ελαφρολαϊκό 11.pll
6|14:30=ελαφρολαϊκό etnic.pll
6|15:00=ακουστικό 15.pll
6|15:30=ακουστικό 15 β.pll
6|16:00=ροκ.pll
6|16:30=ακουστικό νεανικό πρώιμο.pll
6|17:00=ελαφρολαϊκό etnic β.pll
6|17:30=ελαφρολαϊκό etnic β.pll
6|18:00=ακουστικό 18.pll
6|18:30=ακουστικό 12-30.pll
6|19:00=rock 80 b .pll
6|19:30=rock 80 a .pll
6|20:00=ακουστικό 20.pll
6|20:30=ακουστικό 18.pll
6|21:00=ακουστικό 20.pll
6|22:00=ακουστικό 18.pll
6|22:30=ακουστικό 14-30.pll
6|23:00=ελαφρολαϊκό etnic.pll
